case_id,cycle_time_minutes
779,1.6333333333333335e-09
780,1.2333333333333334e-09
781,5.333333333333334e-10
782,6.333333333333334e-10
783,4.833333333333333e-10
784,5.5e-10
785,5.833333333333334e-10
786,1.2e-09
787,1.1166666666666667e-09
788,9.166666666666667e-10
789,8.5e-10
790,4e-10
791,5.166666666666666e-10
792,7e-10
793,7.5e-10
794,1.5e-09
795,6.666666666666666e-10
796,4.3333333333333334e-10
797,5.166666666666666e-10
798,8.833333333333333e-10
799,1.4166666666666665e-09
800,9.5e-10
801,3.25e-09
802,1.3833333333333333e-09
803,5.666666666666667e-10
804,9.166666666666667e-10
805,1.7e-09
806,2.1833333333333334e-09
807,6.166666666666667e-10
808,1.3666666666666667e-09
809,6e-10
810,8.666666666666667e-10
811,1.8666666666666664e-09
812,7.833333333333333e-10
813,8.166666666666667e-10
814,2.933333333333333e-09
815,1.2166666666666668e-09
816,9.999999999999999e-10
817,1.2333333333333334e-09
818,1.7833333333333334e-09
819,1.0333333333333333e-09
820,1.7666666666666666e-09
821,9.5e-10
822,1.5e-09
823,9.666666666666666e-10
824,9.666666666666666e-10
825,1.15e-09
826,4.666666666666666e-10
827,9.833333333333332e-10
828,2.25e-09
829,8e-10
830,5.5e-10
831,1.95e-09
832,6.666666666666666e-10
833,9.666666666666666e-10
834,9.333333333333332e-10
835,5.5e-10
836,1.15e-09
837,1.1166666666666667e-09
