case_id,activity,resource,timestamp,activity_duration,prefix_index,timesincelastevent,elapsed_time,remaining_time,open_cases,case_start_time,case_complete_time,method,l,simulation_run,process
1123,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3929.7063064400304,18.439571570321732,3,26.225930167041497,42.7027133045176,54.58261782026966,17,3887.003593135513,3984.2889242603,FIFO,0.0155555555555555,0,variant_4
1129,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3929.715149350237,0.008842910206567467,3,16.102315192789774,21.21894291041599,30.524843446801242,17,3908.496206439821,3960.239992797038,FIFO,0.0155555555555555,0,variant_8
1125,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3930.793137681541,15.765854803115417,3,31.480648404810836,41.7954037836389,56.82535419695114,17,3888.997733897902,3987.618491878492,FIFO,0.0155555555555555,0,variant_1
1130,ASSEMBLY_1_1,LINE_1_ASSEMBLY1,3931.1325445478487,3.329858951337883,3,3.329858951337883,14.391477168228903,38.35004478288738,17,3916.74106737962,3969.482589330736,FIFO,0.0155555555555555,0,variant_4
1117,SORTING,SORTING_ROBOT,3931.236799926131,6.230243446380882,4,39.83380679808397,64.95649437287011,6.149728216492804,17,3866.280305553261,3937.386528142624,FIFO,0.0155555555555555,0,variant_16
1128,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3931.609626677576,1.8944773273392457,3,17.228618468373043,28.592907721736992,63.87849687583821,17,3903.016718955839,3995.4881235534144,FIFO,0.0155555555555555,0,variant_18
1127,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3932.3741400830936,0.7645134055173912,3,9.7342848473927,16.4108698126297,70.38613772744247,17,3915.963270270464,4002.760277810536,FIFO,0.0155555555555555,0,variant_7
1127,ASSEMBLY_2_1,ASSEMBLY2_LINE_1,3933.135986951383,0.7618468682894672,4,0.7618468682894672,17.172716680919166,69.624290859153,17,3915.963270270464,4002.760277810536,FIFO,0.0155555555555555,0,variant_7
1122,SORTING,SORTING_ROBOT,3933.164963433841,1.9281635077099963,4,32.15968688071507,51.05499253695916,3.9353845610089593,17,3882.109970896882,3937.10034799485,FIFO,0.0155555555555555,0,variant_12
1107,SORTING,SORTING_ROBOT,3935.42861686557,2.263653431728926,5,30.95814821537988,95.59281941008203,5.534394919330225,17,3839.835797455488,3940.9630117849,FIFO,0.0155555555555555,0,variant_1
1108,PACKAGING_1,PACKAGING_LINE_1,3936.1341594976816,14.587502837879128,6,14.587502837879128,90.23428239402074,0.0,16,3845.899877103661,3936.1341594976816,FIFO,0.0155555555555555,0,variant_13
1114,SORTING,SORTING_ROBOT,3936.883760786565,1.4551439209949422,5,31.943436785184986,73.74446131231298,11.581503469482413,16,3863.139299474252,3948.4652642560472,FIFO,0.0155555555555555,0,variant_7
1122,PACKAGING_1,PACKAGING_LINE_1,3937.10034799485,0.9661884971683321,5,3.9353845610089593,54.99037709796812,0.0,15,3882.109970896882,3937.10034799485,FIFO,0.0155555555555555,0,variant_12
1117,PACKAGING_2,PACKAGING_LINE_2,3937.386528142624,6.149728216492804,5,6.149728216492804,71.10622258936291,0.0,14,3866.280305553261,3937.386528142624,FIFO,0.0155555555555555,0,variant_16
1124,ASSEMBLY_2_2,ASSEMBLY2_LINE_2,3939.017774336504,8.224636654962978,3,34.22648034488566,38.318301983845686,51.68010373943798,14,3900.699472352658,3990.697878075942,FIFO,0.0155555555555555,0,variant_6
